movieId,bias,vector,title
2064,-0.555704446703334,"0.768676930565298,-0.450710841807416,0.013765784537035,-0.240587345677984,-0.774152077190182,0.107535811457733,0.307622855771698,-0.47649637201054,0.222663587703037,0.218724072595902",While You Were Sleeping
275,0.20156479962405802,"0.433994562762804,-0.263055532356033,1.10933782301095,-0.0840363307222259,-0.0764323852050062,-0.269763755369083,-0.62330285402567,-0.382500085438303,-0.623446088214429,0.60875691723329",Fargo
9487,-0.382128342083536,"0.390208138957987,-0.462915858282616,-0.3405448675043,-0.120523056014701,0.0235718504524509,-0.071314140425585,-0.0731961964768806,0.583422251017134,0.0216123581186354,-0.228176946756994",A Bug's Life
782,-0.0986282713373646,"0.148192126767895,-0.036885715612121,0.123977314552386,0.0116834818906513,0.178606930231622,-0.290014851123552,-0.452598825411671,0.228210057931173,-0.128398954662758,-0.0918930359979613",Gattaca
71,0.284988169528401,"-0.190836635074418,-0.0281904238557761,-0.0399333812877544,0.565112841191073,-0.136996793503583,0.105179291441225,-0.195974111468583,0.20884603403934,-0.0620934538284629,0.389471848800944",Billy Elliot
453,0.129432238937671,"-0.341510017205678,0.447571439031847,-0.0986274345173728,0.323333308539833,0.445624546277454,-0.151615938280465,0.0743842944019521,0.490710961140101,-0.0675645894332753,-0.154541702907472",A Beautiful Mind
1878,0.117514580830986,"-0.201683744911852,0.515284340153414,0.540318619217702,-0.0298309932545548,0.375469705223671,-0.305058011672543,-0.409588106852036,-0.184875069247507,-0.552072028552823,0.176853803358617",Fear and Loathing in Las Vegas
73,0.163225381966457,"-0.388109233114153,0.428524278732343,0.496260348291499,0.486785396375556,0.406906130780311,-0.396177685749242,-0.576916299389187,0.095660752408469,-0.289578739181381,0.0444461420275506",American History X
207703,-0.23876502416169604,"-0.812335359585564,0.342871869033792,-0.162018929317392,-0.369989616352309,-0.0105476113547573,0.647876657972061,0.476253551815483,0.0347113720548572,0.182019041748825,-0.505472788254977",Kingsman: The Secret Service
853,-0.0383776117540387,"-0.102201409772039,0.028855112264822,-0.156116103132817,0.327467415397574,0.507427960318054,-0.477682832826874,-0.0446578352827675,0.22737498376361,0.00993882311509826,-0.134964701447459",Enemy at the Gates
7863,-0.0709422386771709,"0.790815142313068,-0.241948745677486,0.530057340719723,-0.131553585557794,-0.609402636014943,-0.106450924146518,-0.186823537429418,-0.356272808030082,-0.124000659982977,0.532875402686325",Shine
